Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP,0,,INORG_RCY_OS,,2018,,0.00233204,0.00233204,0.059232,0.0568564,,,,,,,,,,,0.120119,,,,0.123378,0.120119,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2019,,,0.00233204,0.056332,0.056332,,,,,,,,,,,0.112807,,,,0.122241,0.112807,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2020,,0.00314027,0.00547231,0.0566723,0.0564436,,,,,,,,,,,0.107138,,,,0.122483,0.107138,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2021,,,0.00547231,0.0537723,0.0537723,,,,,,,,,,,0.0967464,,,,0.116686,0.0967464,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2022,,0.00624763,0.0117199,0.0572199,0.0572199,,,,,,,,,,,0.0975823,,,,0.124167,0.0975823,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2023,,0.00641314,0.0181331,0.0607331,0.0607331,,,,,,,,,,,0.098174,,,,0.131791,0.098174,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2024,,0.0493644,0.0674975,0.107297,0.107297,,,,,,,,,,,0.164402,,,,0.232836,0.164402,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2025,,0.188284,0.255781,0.292781,0.149971,,,,,,,,,,,0.217808,,,,0.325438,0.217808,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2026,,,0.255781,0.289881,0.195511,,,,,,,,,,,0.269144,,,,0.424259,0.269144,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2027,,,0.255781,0.287081,0.240275,,,,,,,,,,,0.313524,,,,0.521397,0.313524,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2028,,,0.255781,0.284181,0.284181,,,,,,,,,,,0.351483,,,,0.616673,0.351483,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2029,,0.810292,1.06607,1.09167,0.327147,,,,,,,,,,,0.38353,,,,0.709909,0.38353,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2030,,,1.06607,1.08877,0.369089,,,,,,,,,,,0.410143,,,,0.800923,0.410143,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2031,,,1.06607,1.08597,0.417789,,,,,,,,,,,0.440057,,,,0.906602,0.440057,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2032,,,1.06607,1.08317,0.467196,,,,,,,,,,,0.466443,,,,1.01382,0.466443,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2033,,,1.06607,1.08027,0.517278,,,,,,,,,,,0.489521,,,,1.12249,0.489521,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2034,,,1.06607,1.07747,0.568005,,,,,,,,,,,0.509503,,,,1.23257,0.509503,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2035,,,1.06607,1.07457,0.619343,,,,,,,,,,,0.52659,,,,1.34397,0.52659,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2036,,,1.06607,1.07177,0.671259,,,,,,,,,,,0.540978,,,,1.45663,0.540978,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2037,,,1.06607,1.06887,0.723718,,,,,,,,,,,0.552849,,,,1.57047,0.552849,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2038,,,1.06374,1.06374,0.776687,,,,,,,,,,,0.562381,,,,1.68541,0.562381,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2039,,,1.06374,1.06374,0.830129,,,,,,,,,,,0.569741,,,,1.80138,0.569741,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2040,,,1.0606,1.0606,0.884009,,,,,,,,,,,0.575091,,,,1.9183,0.575091,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2041,,,1.0606,1.0606,0.938295,,,,,,,,,,,0.578584,,,,2.0361,0.578584,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2042,,,1.05435,1.05435,0.992951,,,,,,,,,,,0.580366,,,,2.1547,0.580366,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2043,,,1.04794,1.04794,1.04794,,,,,,,,,,,0.580575,,,,2.27403,0.580575,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2044,,0.460238,1.45881,1.45881,1.10323,,,,,,,,,,,0.579342,,,,2.39401,0.579342,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2045,,,1.27053,1.27053,1.15878,,,,,,,,,,,0.57679,,,,2.51455,0.57679,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2046,,,1.27053,1.27053,1.21456,,,,,,,,,,,0.573037,,,,2.63559,0.573037,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2047,,,1.27053,1.27053,1.27053,,,,,,,,,,,0.568195,,,,2.75705,0.568195,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2048,,0.0561289,1.32666,1.32666,1.32666,,,,,,,,,,,0.562366,,,,2.87885,0.562366,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2049,,0.866546,1.38291,1.38291,1.38291,,,,,,,,,,,0.555651,,,,3.00092,0.555651,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2050,,0.59697,1.97988,1.97988,1.43926,,,,,,,,,,,0.548144,,,,3.1232,0.548144,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2051,,,1.97988,1.97988,1.444,,,,,,,,,,,0.521277,,,,3.13348,0.521277,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2052,,,1.97988,1.97988,1.44835,,,,,,,,,,,0.49559,,,,3.14292,0.49559,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2053,,,1.97988,1.97988,1.45231,,,,,,,,,,,0.471039,,,,3.15151,0.471039,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2054,,,1.97988,1.97988,1.45588,,,,,,,,,,,0.447579,,,,3.15925,0.447579,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2055,,,1.97988,1.97988,1.45905,,,,,,,,,,,0.42517,,,,3.16614,0.42517,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2056,,,1.97988,1.97988,1.46183,,,,,,,,,,,0.403772,,,,3.17216,0.403772,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2057,,,1.97988,1.97988,1.4642,,,,,,,,,,,0.383344,,,,3.17732,0.383344,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2058,,,1.97988,1.97988,1.46617,,,,,,,,,,,0.363848,,,,3.18159,0.363848,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2059,,,1.97988,1.97988,1.46774,,,,,,,,,,,0.345248,,,,3.18499,0.345248,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2060,,,1.97988,1.97988,1.4689,,,,,,,,,,,0.327509,,,,3.18751,0.327509,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2061,,,1.97988,1.97988,1.46966,,,,,,,,,,,0.310594,,,,3.18915,0.310594,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2062,,,1.97988,1.97988,1.47,,,,,,,,,,,0.294471,,,,3.1899,0.294471,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2063,,,1.97988,1.97988,1.46994,,,,,,,,,,,0.279108,,,,3.18977,0.279108,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2064,,,1.51964,1.51964,1.46947,,,,,,,,,,,0.264473,,,,3.18875,0.264473,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2065,,,1.51964,1.51964,1.46859,,,,,,,,,,,0.250535,,,,3.18684,0.250535,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2066,,,1.51964,1.51964,1.46731,,,,,,,,,,,0.237266,,,,3.18405,0.237266,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2067,,,1.51964,1.51964,1.46561,,,,,,,,,,,0.224638,,,,3.18038,0.224638,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2068,,,1.46352,1.46352,1.46352,,,,,,,,,,,0.212622,,,,3.17583,0.212622,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2069,,0.864045,1.46101,1.46101,1.46101,,,,,,,,,,,0.201193,,,,3.1704,0.201193,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2070,,0.594067,1.45811,1.45811,1.45811,,,,,,,,,,,0.190325,,,,3.1641,0.190325,,,,,,,,,,,
DDP,0,,COMPOST,,2018,,1.00874e-05,1.00874e-05,0.12611,0.12611,,,0.00156355,0.00156355,,,5.99023,5.832,5.99023,,6.26329,,,,0.441385,0.429726,,0.002,,7.829,7.829,,2.559920580090068e-08,,9.807497717676397e-05,9.807497717676397e-05,
DDP,0,,COMPOST,,2019,,0.00513691,0.005147,0.124947,0.124947,,,0.796222,0.754713,,,5.93498,5.47698,5.93498,,6.63525,,,,0.437315,0.403567,,0.9864,,7.3524,7.3524,,1.2743046192382997e-05,,9.498572545203379e-05,9.498572545203379e-05,
DDP,0,,COMPOST,,2020,,0.00654744,0.0116944,0.125194,0.125194,,,1.01485,0.911797,,,5.94674,5.20173,5.94674,,6.49681,,,,0.438181,0.383285,,1.1917,,6.9829,6.9829,,1.693644800178316e-05,,9.9242895787677e-05,9.9242895787677e-05,
DDP,0,,COMPOST,,2021,,0.000374967,0.0120694,0.119269,0.119269,,,0.0581198,0.0494956,,,5.6653,4.6972,5.6653,,5.09281,,,,0.417443,0.346109,,0.0647,,6.3056,6.3056,,9.335316370701977e-07,,9.099716075233898e-05,9.099716075233898e-05,
DDP,0,,COMPOST,,2022,,0.013947,0.0260164,0.126916,0.126916,,,2.16179,1.74503,,,6.02853,4.73779,6.02853,,6.83192,,,,0.444207,0.3491,,2.2807,,6.3601,6.3601,,3.348418067498851e-05,,9.337650175298642e-05,9.337650175298642e-05,
DDP,0,,COMPOST,,2023,,0.0140923,0.0401087,0.134709,0.134709,,,2.18431,1.67129,,,6.39866,4.76651,6.39866,,6.78902,,,,0.471481,0.351217,,2.1843,,6.3987,6.3987,,3.2847568153891954e-05,,9.622279824914151e-05,9.622279824914151e-05,
DDP,0,,COMPOST,,2024,,0.0118864,0.0519952,0.140295,0.140295,,,1.8424,1.33619,,,6.66402,4.70539,6.66402,,6.38829,,,,0.491033,0.346713,,1.7464,,6.3166,6.3166,,2.6898969880529044e-05,,9.729443837562047e-05,9.729443837562047e-05,
DDP,0,,COMPOST,,2025,,0.0108858,0.062881,0.144881,0.144881,,,1.6873,1.15991,,,6.88185,4.60587,6.88185,,6.10516,,,,0.507083,0.33938,,1.516,,6.183,6.183,,2.3917005614993874e-05,,9.754829911192175e-05,9.754829911192175e-05,
DDP,0,,COMPOST,,2026,,0.0153214,0.0782024,0.153902,0.153902,,,2.37482,1.54743,,,7.31036,4.6376,7.31036,,6.52674,,,,0.538658,0.341718,,2.0224,,6.2256,6.2256,,3.2681950812782275e-05,,0.00010060418303017956,0.00010060418303017956,
DDP,0,,COMPOST,,2027,,0.0150881,0.0932905,0.16269,0.16269,,,2.33865,1.44442,,,7.7278,4.64684,7.7278,,6.43365,,,,0.569417,0.342398,,1.8878,,6.238,6.238,,3.124678075481459e-05,,0.00010325139388837842,0.00010325139388837842,
DDP,0,,COMPOST,,2028,,0.0148367,0.108127,0.171227,0.171227,,,2.29969,1.34631,,,8.13329,4.6357,8.13329,,6.32359,,,,0.599295,0.341578,,1.7596,,6.2231,6.2231,,2.98312960132545e-05,,0.00010550403817542481,0.00010550403817542481,
DDP,0,,COMPOST,,2029,,0.0146687,0.122796,0.179496,0.179496,,,2.27365,1.26167,,,8.52605,4.60622,8.52605,,6.2073,,,,0.628236,0.339406,,1.649,,6.1835,6.1835,,2.863447411064568e-05,,0.00010737754623230075,0.00010737754623230075,
DDP,0,,COMPOST,,2030,,0.0142821,0.137078,0.187478,0.187478,,,2.21373,1.16438,,,8.90521,4.56025,8.90521,,6.06065,,,,0.656173,0.336018,,1.5218,,6.1218,6.1218,,2.7067804184221836e-05,,0.00010888612454968499,0.00010888612454968499,
DDP,0,,COMPOST,,2031,,0.0177222,0.1548,0.1989,0.1989,,,2.74694,1.36952,,,9.44776,4.58586,9.44776,,6.29328,,,,0.696151,0.337905,,1.7899,,6.1561,6.1561,,3.260921349930297e-05,,0.00011215535211186798,0.00011215535211186798,
DDP,0,,COMPOST,,2032,,0.0178516,0.172652,0.210452,0.210452,,,2.767,1.3076,,,9.99646,4.59924,9.99646,,6.24573,,,,0.736581,0.338891,,1.709,,6.1741,6.1741,,3.189062899807501e-05,,0.00011521264804990853,0.00011521264804990853,
DDP,0,,COMPOST,,2033,,0.0179734,0.190625,0.222125,0.222125,,,2.78587,1.24788,,,10.5509,4.60128,10.5509,,6.1882,,,,0.777438,0.339041,,1.6309,,6.1768,6.1768,,3.117292451846387e-05,,0.00011806093224086567,0.00011806093224086567,
DDP,0,,COMPOST,,2034,,0.0180881,0.208713,0.233913,0.233913,,,2.80366,1.19038,,,11.1109,4.59286,11.1109,,6.12166,,,,0.818697,0.338421,,1.5558,,6.1656,6.1656,,3.0458241245736033e-05,,0.00012070596030090972,0.00012070596030090972,
DDP,0,,COMPOST,,2035,,0.018195,0.226908,0.245808,0.245808,,,2.82023,1.13499,,,11.6759,4.5748,11.6759,,6.04688,,,,0.860329,0.337091,,1.4834,,6.1413,6.1413,,2.9745877150063047e-05,,0.0001231494902956217,0.0001231494902956217,
DDP,0,,COMPOST,,2036,,0.0182946,0.245203,0.257803,0.257803,,,2.83566,1.08171,,,12.2456,4.5479,12.2456,,5.96472,,,,0.90231,0.335108,,1.4137,,6.1052,6.1052,,2.9037497423469033e-05,,0.00012539640804921337,0.00012539640804921337,
DDP,0,,COMPOST,,2037,,0.0183857,0.263589,0.269889,0.269889,,,2.84978,1.03042,,,12.8197,4.51289,12.8197,,5.87584,,,,0.94461,0.332529,,1.3467,,6.0582,6.0582,,2.8332124186035142e-05,,0.0001274517094048364,0.0001274517094048364,
DDP,0,,COMPOST,,2038,,0.0184795,0.282058,0.282058,0.282058,,,2.86432,0.981685,,,13.3978,4.4705,13.3978,,5.7816,,,,0.987203,0.329406,,1.283,,6.0013,6.0013,,2.7647261051915702e-05,,0.00012931951531999083,0.00012931951531999083,
DDP,0,,COMPOST,,2039,,0.0173817,0.294303,0.294303,0.294303,,,2.69417,0.875233,,,13.9794,4.4214,13.9794,,5.62242,,,,1.03006,0.325788,,1.1439,,5.9354,5.9354,,2.524749814667875e-05,,0.00013100319415318293,0.00013100319415318293,
DDP,0,,COMPOST,,2040,,0.0188598,0.306615,0.306615,0.306615,,,2.92327,0.90015,,,14.5642,4.36623,14.5642,,5.58811,,,,1.07315,0.321722,,1.1765,,5.8613,5.8613,,2.6596534857752212e-05,,0.00013250820244974798,0.00013250820244974798,
DDP,0,,COMPOST,,2041,,0.0127478,0.318988,0.318988,0.318988,,,1.97591,0.576713,,,15.1519,4.30561,15.1519,,5.19958,,,,1.11646,0.317256,,0.7537,,5.7799,5.7799,,1.745364196677513e-05,,0.00013384002192224343,0.00013384002192224343,
DDP,0,,COMPOST,,2042,,0.0263726,0.331414,0.331414,0.331414,,,4.08776,1.1309,,,15.7421,4.24012,15.7421,,5.68346,,,,1.15995,0.31243,,1.478,,5.692,5.692,,3.5056380061974986e-05,,0.00013500328800458353,0.00013500328800458353,
DDP,0,,COMPOST,,2043,,0.0265623,0.343884,0.343884,0.343884,,,4.11716,1.07966,,,16.3345,4.1703,16.3345,,5.55724,,,,1.20359,0.307285,,1.4111,,5.5983,5.5983,,3.42801093845593e-05,,0.00013600356720216942,0.00013600356720216942,
DDP,0,,COMPOST,,2044,,0.0243936,0.356391,0.356391,0.356391,,,3.78101,0.939817,,,16.9286,4.09666,16.9286,,5.33834,,,,1.24737,0.301859,,1.2283,,5.4995,5.4995,,3.0564342350446814e-05,,0.0001368447917127365,0.0001368447917127365,
DDP,0,,COMPOST,,2045,,0.0234215,0.368926,0.368926,0.368926,,,3.63034,0.855324,,,17.524,4.01967,17.524,,5.17118,,,,1.29124,0.296186,,1.1179,,5.3961,5.3961,,2.849163064806028e-05,,0.00013753183874695162,0.00013753183874695162,
DDP,0,,COMPOST,,2046,,0.0278783,0.381483,0.381483,0.381483,,,4.32114,0.965005,,,18.1205,3.9398,18.1205,,5.19511,,,,1.33519,0.290301,,1.2612,,5.2889,5.2889,,3.292540436544182e-05,,0.00013807115478877994,0.00013807115478877994,
DDP,0,,COMPOST,,2047,,0.0276597,0.394055,0.394055,0.394055,,,4.28725,0.907523,,,18.7176,3.85747,18.7176,,5.04923,,,,1.37919,0.284235,,1.1861,,5.1783,5.1783,,3.171570462184769e-05,,0.00013846681971657737,0.00013846681971657737,
DDP,0,,COMPOST,,2048,,0.027414,0.406632,0.406632,0.406632,,,4.24916,0.852569,,,19.315,3.77307,19.315,,4.90366,,,,1.42321,0.278016,,1.1143,,5.065,5.065,,3.051837571008875e-05,,0.00013872446009102133,0.00013872446009102133,
DDP,0,,COMPOST,,2049,,0.0272452,0.419209,0.419209,0.419209,,,4.22301,0.803149,,,19.9124,3.68699,19.9124,,4.76181,,,,1.46723,0.271673,,1.0497,,4.9495,4.9495,,2.944714642571089e-05,,0.00013884962585627918,0.00013884962585627918,
DDP,0,,COMPOST,,2050,,0.0268521,0.431779,0.431779,0.431779,,,4.16208,0.750295,,,20.5095,3.59956,20.5095,,4.61509,,,,1.51123,0.265231,,0.9806,,4.8321,4.8321,,2.8176970996259847e-05,,0.0001388477844365777,0.0001388477844365777,
DDP,0,,COMPOST,,2051,,0.0191428,0.433199,0.433199,0.433199,,,2.96714,0.506998,,,20.577,3.42313,20.577,,4.18236,,,,1.5162,0.252231,,0.6626,,4.5953,4.5953,,1.9502248903983982e-05,,0.00013524733436820588,0.00013524733436820588,
DDP,0,,COMPOST,,2052,,0.0191567,0.434504,0.434504,0.434504,,,2.96928,0.480914,0.235514,0.0137923,20.639,3.25445,20.639,,3.96138,,,,1.52077,0.239802,,0.6285,,4.3689,4.3689,,1.8947878227355656e-05,,0.00013170373246524188,0.00013170373246524188,
DDP,0,,COMPOST,,2053,,0.0191617,0.435693,0.435693,0.435693,,,2.97006,0.455963,0.458871,0.0268726,20.6954,3.09323,20.6954,,3.75024,,,,1.52492,0.227922,,0.5959,,4.1524,4.1524,,1.8400830722762887e-05,,0.0001282171242802728,0.0001282171242802728,
DDP,0,,COMPOST,,2054,,0.0191587,0.436763,0.436763,0.436763,,,2.9696,0.432125,0.670421,0.0392615,20.7463,2.93917,20.7463,,3.54861,,,,1.52867,0.216571,,0.5648,,3.9456,3.9456,,1.7862117300992927e-05,,0.00012478880797467322,0.00012478880797467322,
DDP,0,,COMPOST,,2055,,0.019147,0.437715,0.437715,0.437715,,,2.96778,0.409347,0.870477,0.0509773,20.7915,2.79202,20.7915,,3.35611,,,,1.532,0.205728,,0.535,,3.7481,3.7481,,1.7331233026559356e-05,,0.00012141814132843704,0.00012141814132843704,
DDP,0,,COMPOST,,2056,,0.0191271,0.438548,0.438548,0.438548,,,2.9647,0.387603,1.05939,0.0620406,20.831,2.6515,20.831,,3.17243,,,,1.53492,0.195373,,0.5066,,3.5594,3.5594,,1.680897713738121e-05,,0.00011810564399392451,0.00011810564399392451,
DDP,0,,COMPOST,,2057,,0.019098,0.43926,0.43926,0.43926,,,2.96019,0.366838,1.23743,0.0724669,20.8649,2.51735,20.8649,,2.99721,,,,1.53741,0.185489,,0.4794,,3.3793,3.3793,,1.629456967348306e-05,,0.00011485227866463189,0.00011485227866463189,
DDP,0,,COMPOST,,2058,,0.019071,0.439852,0.439852,0.439852,,,2.956,0.347221,1.40572,0.0823224,20.893,2.38933,20.893,,2.83028,,,,1.53948,0.176056,,0.4538,,3.2075,3.2075,,1.5797578184454613e-05,,0.00011165723985379238,0.00011165723985379238,
DDP,0,,COMPOST,,2059,,0.0178519,0.440322,0.440322,0.440322,,,2.76705,0.308081,1.46673,0.0858956,20.9153,2.26718,20.9153,,2.65643,,,,1.54113,0.167056,,0.4027,,3.0435,3.0435,,1.4357071585616597e-05,,0.00010852079266173246,0.00010852079266173246,
DDP,0,,COMPOST,,2060,,0.0192082,0.44067,0.44067,0.44067,,,2.97727,0.314206,1.73204,0.101433,20.9318,2.15069,20.9318,,2.52194,,,,1.54235,0.158472,,0.4107,,2.8871,2.8871,,1.499787935092233e-05,,0.00010544311096999467,0.00010544311096999467,
DDP,0,,COMPOST,,2061,,0.012974,0.440897,0.440897,0.440897,,,2.01098,0.201164,1.26841,0.0742813,20.9426,2.03962,20.9426,,2.31679,,,,1.54314,0.150287,,0.2629,,2.738,2.738,,9.835176565485853e-06,,0.00010242477236986146,0.00010242477236986146,
DDP,0,,COMPOST,,2062,,0.0264765,0.441,0.441,0.441,,,4.10386,0.389121,2.77905,0.162748,20.9475,1.93374,20.9475,,2.3026,,,,1.5435,0.142486,,0.5086,,2.5959,2.5959,,1.9486315129953436e-05,,9.946479319097133e-05,9.946479319097133e-05,
DDP,0,,COMPOST,,2063,,0.0265437,0.440982,0.440982,0.440982,,,4.11428,0.369771,2.96718,0.173766,20.9466,1.83285,20.9466,,2.16391,,,,1.54344,0.135052,,0.4833,,2.4605,2.4605,,1.8966788646593344e-05,,9.656361138880488e-05,9.656361138880488e-05,
DDP,0,,COMPOST,,2064,,0.0242525,0.440841,0.440841,0.440841,,,3.75914,0.32024,2.86789,0.167951,20.9399,1.73674,20.9399,,2.017,,,,1.54294,0.127971,,0.4185,,2.3314,2.3314,,1.6824851344881328e-05,,9.372109170626275e-05,9.372109170626275e-05,
DDP,0,,COMPOST,,2065,,0.0231581,0.440577,0.440577,0.440577,,,3.5895,0.289847,2.88041,0.168684,20.9274,1.64522,20.9274,,1.88761,,,,1.54202,0.121227,,0.3788,,2.2086,2.2086,,1.5597660687432467e-05,,9.093703420258369e-05,9.093703420258369e-05,
DDP,0,,COMPOST,,2066,,0.0274926,0.440192,0.440192,0.440192,,,4.26136,0.326159,3.57927,0.209611,20.9091,1.55808,20.9091,,1.78944,,,,1.54067,0.114806,,0.4263,,2.0916,2.0916,,1.7977798608129487e-05,,8.821117879673161e-05,8.821117879673161e-05,
DDP,0,,COMPOST,,2067,,0.027152,0.439684,0.439684,0.439684,,,4.20856,0.305326,3.68446,0.215771,20.885,1.47515,20.885,,1.6734,,,,1.53889,0.108696,,0.399,,1.9803,1.9803,,1.7237909031236262e-05,,8.55432095817499e-05,8.55432095817499e-05,
DDP,0,,COMPOST,,2068,,0.0267847,0.439055,0.439055,0.439055,,,4.15163,0.285493,3.77443,0.22104,20.8551,1.39625,20.8551,,1.56358,,,,1.53669,0.102882,,0.3731,,1.8744,1.8744,,1.6509445167636932e-05,,8.293275892013138e-05,8.293275892013138e-05,
DDP,0,,COMPOST,,2069,,0.0264949,0.438304,0.438304,0.438304,,,4.10671,0.267682,3.86468,0.226325,20.8195,1.3212,20.8195,,1.45991,,,,1.53407,0.0973514,,0.3498,,1.7736,1.7736,,1.5855160681978546e-05,,8.037979740922841e-05,8.037979740922841e-05,
DDP,0,,COMPOST,,2070,,0.0259813,0.437434,0.437434,0.437434,,,4.0271,0.248808,3.9116,0.229073,20.7781,1.24983,20.7781,,1.36166,,,,1.53102,0.0920929,,0.3252,,1.6778,1.6778,,1.5094954256462968e-05,,7.788345683896928e-05,7.788345683896928e-05,
DDP,0,,LANDFILL,,2018,,6.57218e-06,6.57218e-06,2.32231,2.32231,,,0.000893817,0.000893817,,,104.504,101.743,104.504,,101.744,,,,,,,0.0012,,136.5825,136.5825,,1.463400935777151e-08,,0.001710990632226232,0.001710990632226232,
DDP,0,,LANDFILL,,2019,,0.0946819,0.0946885,2.30089,2.30089,,,12.8767,12.2054,,,103.54,95.5497,103.54,,107.755,,,,,,,15.952,,128.2679,128.2679,,0.00020608370894732643,,0.00165709438166659,0.00165709438166659,
DDP,0,,LANDFILL,,2020,,0.120657,0.215345,2.30545,2.30545,,,16.4093,14.743,,,103.745,90.7478,103.745,,105.491,,,,,,,19.2685,,121.8217,121.8217,,0.00027384860442002313,,0.0017313610858205588,0.0017313610858205588,
DDP,0,,LANDFILL,,2021,,0.00699101,0.222336,2.19634,2.19634,,,0.950778,0.809695,,,98.8351,81.946,98.8351,,82.7557,,,,,,,1.0582,,110.0059,110.0059,,1.5271582882775378e-05,,0.0015875087784713074,0.0015875087784713074,
DDP,0,,LANDFILL,,2022,,0.257019,0.479355,2.33716,2.33716,,,34.9546,28.2159,,,105.172,82.654,105.172,,110.87,,,,,,,36.8771,,110.9565,110.9565,,0.0005414152816980158,,0.001629019585597996,0.001629019585597996,
DDP,0,,LANDFILL,,2023,,0.259595,0.73895,2.48065,2.48065,,,35.3049,27.013,,,111.629,83.1552,111.629,,110.168,,,,,,,35.3049,,111.629,111.629,,0.000530913702229235,,0.0016786725260841207,0.0016786725260841207,
DDP,0,,LANDFILL,,2024,,,0.73895,2.36455,2.36402,,,,,,,106.381,75.1143,106.381,,75.1143,,,,,,,,,100.8351,100.8351,,,,0.0015531585512703866,0.0015531585512703866,
DDP,0,,LANDFILL,,2025,,,0.73895,2.24845,2.24611,,,,,,,101.075,67.6471,101.075,,67.6471,,,,,,,,,90.8111,90.8111,,,,0.0014327098574856312,0.0014327098574856312,
DDP,0,,LANDFILL,,2026,,0.0732066,0.812156,2.20556,2.20556,,,9.9561,6.48739,,,99.25,62.9629,99.25,,69.4503,,,,,,,8.4788,,84.5227,84.5227,,0.00013701449814602435,,0.0013658650416320565,0.0013658650416320565,
DDP,0,,LANDFILL,,2027,,0.0745922,0.886749,2.16405,2.16405,,,10.1445,6.26557,,,97.3822,58.5573,97.3822,,64.8229,,,,,,,8.1888,,78.6085,78.6085,,0.00013554100329985958,,0.001301126826511665,0.001301126826511665,
DDP,0,,LANDFILL,,2028,,0.073678,0.960427,2.12163,2.12163,,,10.0202,5.86613,,,95.4732,54.4165,95.4732,,60.2826,,,,,,,7.6668,,73.0498,73.0498,,0.0001299808027655957,,0.0012384666152971268,0.0012384666152971268,
DDP,0,,LANDFILL,,2029,,0.0729236,1.03335,2.07835,2.07835,,,9.91762,5.50339,,,93.5258,50.5275,93.5258,,56.0309,,,,,,,7.1927,,67.8292,67.8292,,0.00012490305593614753,,0.0011778691086039741,0.0011778691086039741,
DDP,0,,LANDFILL,,2030,,0.0720065,1.10536,2.03426,2.03426,,,9.79289,5.15088,,,91.5416,46.8773,91.5416,,52.0282,,,,,,,6.732,,62.9291,62.9291,,0.00011973999942071715,,0.0011193009551798826,0.0011193009551798826,
DDP,0,,LANDFILL,,2031,,0.109405,1.21476,2.02756,2.02756,,,14.8791,7.41813,,,91.2403,44.2872,91.2403,,51.7054,,,,,,,9.6952,,59.4521,59.4521,,0.00017663136019624703,,0.0010831231925125604,0.0010831231925125604,
DDP,0,,LANDFILL,,2032,,0.108555,1.32332,2.02002,2.02002,,,14.7635,6.97679,,,90.9008,41.8222,90.9008,,48.799,,,,,,,9.1184,,56.143,56.143,,0.00017015442761585846,,0.0010476630605089326,0.0010476630605089326,
