Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,917,,Bosque,,2018,,12.6363,12.6363,12.6363,12.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,917,,Bosque,,2019,,12.5788,12.5788,12.5788,12.5788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,917,,Bosque,,2020,,12.5214,12.5214,12.5214,12.5214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,917,,Bosque,,2021,,12.4644,12.4644,12.4644,12.4644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,917,,Bosque,,2022,,12.4076,12.4076,12.4076,12.4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,917,,Bosque,,2023,,12.3512,12.3512,12.3512,12.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,917,,Bosque,,2024,,12.295,12.295,12.295,12.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,917,,Bosque,,2025,,12.239,12.239,12.239,12.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,917,,Bosque,,2026,,12.1833,12.1833,12.1833,12.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,917,,Bosque,,2027,,12.1278,12.1278,12.1278,12.1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,917,,Bosque,,2028,,12.0726,12.0726,12.0726,12.0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
