Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP,517,,Bosque,,2018,,12.6363,12.6363,12.6363,12.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2019,,12.5788,12.5788,12.5788,12.5788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2020,,12.5214,12.5214,12.5214,12.5214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2021,,12.4644,12.4644,12.4644,12.4644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2022,,12.4076,12.4076,12.4076,12.4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2023,,12.3809,12.3809,12.3809,12.3809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2024,,12.4736,12.4736,12.4736,12.4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2025,,12.5209,12.5209,12.5209,12.5209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2026,,12.5295,12.5295,12.5295,12.5295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2027,,12.5403,12.5403,12.5403,12.5403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2028,,12.5532,12.5532,12.5532,12.5532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2029,,12.5682,12.5682,12.5682,12.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2030,,12.5854,12.5854,12.5854,12.5854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2031,,12.6047,12.6047,12.6047,12.6047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2032,,12.6262,12.6262,12.6262,12.6262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2033,,12.6498,12.6498,12.6498,12.6498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,517,,Bosque,,2034,,12.6755,12.6755,12.6755,12.6755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
