Future.ID,Strategy.ID,Strategy,Fuel,Technology,Emission,Season,Year,SpecifiedAnnualDemand,CapacityFactor,OperationalLife,ResidualCapacity,InputActivityRatio,OutputActivityRatio,EmissionActivityRatio,CapitalCost,VariableCost,FixedCost,TotalAnnualMaxCapacity,TotalAnnualMinCapacity,TotalAnnualMaxCapacityInvestment,TotalAnnualMinCapacityInvestment,TotalTechnologyAnnualActivityUpperLimit,TotalTechnologyAnnualActivityLowerLimit
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2018.0,5.05598,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2019.0,4.817644518189358,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2020.0,3.8519524900047575,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2021.0,3.5964194252948527,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2022.0,4.239567017232059,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2023.0,4.45633134877193,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2024.0,4.6730956803117385,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2025.0,4.889860011851608,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2026.0,5.1066243433914185,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2027.0,5.323388674931288,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2028.0,5.5401530064710975,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2029.0,5.756917338010968,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2030.0,5.9736816695507775,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2031.0,6.190446001090647,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2032.0,6.407210332630515,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2033.0,6.6239746641703245,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2034.0,6.8407389957101925,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2035.0,7.0575033272500045,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2036.0,7.274267658789872,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2037.0,7.491031990329683,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2038.0,7.707796321869553,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2039.0,7.924560653409362,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2040.0,8.14132498494923,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2041.0,8.358089316489039,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2042.0,8.57485364802891,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2043.0,8.79161797956872,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2044.0,9.008382311108589,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2045.0,9.2251466426484,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2046.0,9.441910974188268,,,,,,,,,,,,,,,
0,0,BAU,E5_CEM_PRODCEM_PROD,,,,2047.0,9.658675305728078,,,,,,,,,,,,,,,
